Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,demo,env,sport,Description
114,BB Russian Twist,Beg,Abs,Low,3,15ea,--,45s,Rotational,⭐,None,Obliques,Core Speed,Rotational core power.,Sit with bar; rotate end side-to-side.,Watch Video,w_room,Weight Room,Rotational core power.
115,Woodchopper (BB),Beg,Abs,Low,3,12ea,--,45s,Diagonal,⭐,None,Core Force,Athleticism,Diagonal core movement using LM.,Rotate bar high to low across body.,Watch Video,w_room,Weight Room,Diagonal core movement using LM.
116,Weighted Crunch,Beg,Abs,Low,3,20,--,45s,Upper Ab,⭐,Crunch,Ab Size,Ab Strength,Upper ab isolation.,Lie on back; hold bar; crunch upward.,Watch Video,w_room,Weight Room,Upper ab isolation.
117,Leg Raise (Wght),Inter,Abs,Med,3,12,--,60s,Lower Ab,⭐⭐,Leg Raise,Core Brace,Strength,Lower ab isolation.,Bar between feet; lift to 90 deg.,Watch Video,w_room,Weight Room,Lower ab isolation.
118,Hollow Body Hold,Inter,Abs,Med,3,--,45s,45s,Static Stab.,⭐⭐,Plank,Gymnastic,Deep Core,Total core tension.,Hold light bar overhead in hollow body.,Watch Video,w_room,Weight Room,Total core tension.
119,Plank Row (BB),Adv,Abs/Back,High,3,8ea,--,90s,Elite Stab.,⭐⭐⭐,Plank,Balance,Core Brace,Core and back stability.,Plank on bar; row one side while balance.,Watch Video,w_room,Weight Room,Core and back stability.
120,Dead Bug (Wght),Beg,Abs,Low,3,12,--,45s,Spinal Stab.,⭐,None,Bracing,Coordination,Spinal stability.,Hold bar over chest; extend opposite leg.,Watch Video,w_room,Weight Room,Spinal stability.
121,Sissy Squat (BB),Adv,Quads,Med,3,10,--,90s,Quad Iso,⭐⭐⭐,Squat,Flexibility,Quad Growth,Pure quad isolation.,Hold bar; lean back; squat on toes.,Watch Video,w_room,Weight Room,Pure quad isolation.
122,Zercher Lunge,Adv,Quads,High,3,8ea,--,120s,Core/Leg,⭐⭐⭐,Zercher Sq,Stability,Power,Unilateral core/leg challenge.,Bar in elbows; perform lunges.,Watch Video,w_room,Weight Room,Unilateral core/leg challenge.
123,Cossack Squat,Inter,Quads,Med,3,10ea,--,90s,Lat. Mobility,⭐⭐,Lunge,Hip Flex,Lateral Pow,Lateral leg mobility and power.,Wide stance; sit deep into one side.,Watch Video,w_room,Weight Room,Lateral leg mobility and power.
124,Wall Sit (Wght),Beg,Quads,Low,3,--,60s,60s,Isometric,⭐,None,Endurance,Mental Tough,Isometric quad endurance.,Lean against wall; bar on lap for time.,Watch Video,w_room,Weight Room,Isometric quad endurance.
1,Bicep Curl,Beg,Biceps,Low,3,12,--,45s,Bicep Peak,⭐,None,Size,Definition,Standard bicep isolation.,Palms forward; curl to shoulders; elbows pinned.,Watch Video,w_room,,Standard bicep isolation.
2,Hammer Curl,Beg,Biceps,Low,3,12,--,45s,Long Head,⭐,None,Forearm Mass,Width,Targets brachialis and forearm width.,"Neutral grip; curl ""thumb-up"" to shoulder.",Watch Video,w_room,,Targets brachialis and forearm width.
3,Dumbbell Row,Beg,Back,Med,3,10ea,--,60s,Lat Thickness,⭐⭐,None,Posture,Pull Strength,Unilateral back builder.,One hand on bench; pull weight to hip.,Watch Video,w_room,,Unilateral back builder.
4,Bench Press,Beg,Chest,Med,4,10,--,90s,Chest Mass,⭐⭐,Push Up,Force Prod.,Stability,Stable compound chest press.,Lie flat; press weights; elbows at 45°.,Watch Video,w_room,,Stable compound chest press.
5,Shoulder Press,Beg,Shoulders,Med,3,10,--,60s,Vertical Pow,⭐⭐,None,Press Volume,Sh. Health,Overhead deltoid development.,Press from ear level to overhead; core tight.,Watch Video,w_room,,Overhead deltoid development.
6,Dumbbell Fly,Beg,Chest,Low,3,12,--,45s,Chest Stretch,⭐,Bench Press,Flexibility,Pec Detail,Isolates pectorals via a wide arc.,"Lower in arc until stretch; ""hug"" to center.",Watch Video,w_room,,Isolates pectorals via a wide arc.
7,Skullcrusher,Inter,Triceps,Low,3,12,--,45s,Tri Isolation,⭐,None,Arm Size,Lockout Pow,Targets the tricep long head.,Lie on bench; lower to forehead; extend.,Watch Video,w_room,,Targets the tricep long head.
8,Front Raise,Beg,Shoulders,Low,3,12,--,30s,Ant. Delt,⭐,None,Front Cap,Sh. Shape,Isolate the front shoulder.,Raise to shoulder height; do not swing.,Watch Video,w_room,,Isolate the front shoulder.
9,Seated Tri Press,Beg,Triceps,Low,3,12,--,45s,Long Head Ext,⭐,None,Arm Mass,Tricep Depth,Overhead tricep extension.,Sit; hold DB overhead; lower behind head.,Watch Video,w_room,,Overhead tricep extension.
10,Incline Bench,Inter,Chest,Med,3,10,--,60s,Upper Pec,⭐⭐,Bench Press,Front Delt,Upper Fill,Targets the clavicular head.,Bench at 45°; press from upper chest.,Watch Video,w_room,,Targets the clavicular head.
11,Dumbbell Lunge,Beg,Quads,Med,3,12ea,--,60s,Unilat. Legs,⭐⭐,Lunge,Balance,Step Power,Weighted lower body strength.,Step forward; back knee to floor; shin vertical.,Watch Video,w_room,,Weighted lower body strength.
12,Rear Delt Raise,Beg,Shoulders,Low,3,15,--,30s,Post. Chain,⭐,None,Posture,Sh. Health,Isolates back of the shoulder.,Hinge forward; pull weights out like wings.,Watch Video,w_room,,Isolates back of the shoulder.
13,Bent Over Row,Inter,Back,High,3,10,--,60s,Back Density,⭐⭐,DB Row,Bracing,Total Pull,Bilateral back thickness builder.,Hinge at hips; pull to waist; flat back.,Watch Video,w_room,,Bilateral back thickness builder.
14,Kickbacks,Beg,Triceps,Low,3,15ea,--,30s,Tri Squeeze,⭐,None,Definition,Detail,Focuses on the tricep contraction.,Hinge; elbow high; extend arm straight back.,Watch Video,w_room,,Focuses on the tricep contraction.
15,Romanian DL,Inter,Hamstrings,High,3,12,--,60s,Posterior Pow,⭐⭐⭐,Hinge,Ham. Stretch,Hip Snap,Foundational hip-hinge movement.,Hinge at hips; slide weights down legs.,Watch Video,w_room,,Foundational hip-hinge movement.
16,Shoulder Raise,Beg,Shoulders,Low,3,15,--,30s,Lat. Delt,⭐,None,Width,Sh. Cap,Medial deltoid isolation.,Raise to sides; lead with elbows.,Watch Video,w_room,,Medial deltoid isolation.
17,Seated Curl,Beg,Biceps,Low,3,12,--,45s,Strict Bicep,⭐,Bicep Curl,No Momentum,Peak Dev.,Removes leg drive from the curl.,Sit; perform curl; rotate wrists at top.,Watch Video,w_room,,Removes leg drive from the curl.
18,Dumbbell Squat,Beg,Quads,Med,3,15,--,60s,Leg Foundation,⭐⭐,Body Squat,Depth,Quad Volume,Beginner-friendly weighted squat.,Hold weights at sides; sit back on heels.,Watch Video,w_room,,Beginner-friendly weighted squat.
19,Concentrat. Curl,Beg,Biceps,Low,3,12ea,--,30s,Peak Isolation,⭐,Bicep Curl,Bicep Shape,Detail,Focuses on the bicep peak.,Sit; brace elbow on thigh; curl upward.,Watch Video,w_room,,Focuses on the bicep peak.
20,Dumbbell Shrug,Beg,Trapezius,Low,3,15,2s Hold,45s,Trap Height,⭐,None,Neck Health,Trapezius Dev,Upper trap isolation.,Hold at sides; lift shoulders to ears.,Watch Video,w_room,,Upper trap isolation.
21,Arnold Press,Inter,Shoulders,Med,3,10,--,60s,Full Delt,⭐⭐,Sh. Press,Range of Mot.,Sh. Health,Rotational overhead press.,Start palms in; rotate palms out as you press.,Watch Video,w_room,,Rotational overhead press.
22,Squat to Press,Inter,Full Body,High,4,10,--,90s,Full Power,⭐⭐⭐,Squat,Coordination,Athleticism,Explosive full-body movement.,Squat; use momentum to press overhead.,Watch Video,w_room,,Explosive full-body movement.
23,Lateral Raise,Beg,Shoulders,Low,3,15,--,30s,Side Delt,⭐,None,Width,Sh. Width,"Builds the ""cap"" of the shoulder.",Lift to sides; micro-bend in elbows.,Watch Video,w_room,,"Builds the ""cap"" of the shoulder."
24,Incline Curl,Inter,Biceps,Low,3,12,--,45s,Bicep Stretch,⭐,Bicep Curl,Range of Mot.,Long Head Dev,Increases the stretch on the bicep.,Sit on incline; let arms hang; curl up.,Watch Video,w_room,,Increases the stretch on the bicep.
25,Single Leg RDL,Inter,Hamstrings,High,3,10ea,--,60s,Balance/Hame,⭐⭐⭐,RDL,Ankle Stab.,Hip Control,Unilateral posterior chain work.,Balance on one leg; hinge; non-standing leg back.,Watch Video,w_room,,Unilateral posterior chain work.
26,Upright Row,Beg,Trapezius,Low,3,12,--,45s,Upper Back,⭐,None,Trap Growth,Sh. Volume,Pulls for traps and side delts.,Pull to chin; elbows pointing high.,Watch Video,w_room,,Pulls for traps and side delts.
27,1-Arm Tri Ext,Beg,Triceps,Low,3,12ea,--,30s,Symmetry,⭐,Tri Press,Balance,Unilat. Detail,Single-arm tricep isolation.,One weight overhead; lower behind head.,Watch Video,w_room,,Single-arm tricep isolation.
28,Cross Body Curl,Beg,Biceps,Low,3,12ea,--,45s,Brachialis,⭐,Hammer Curl,Bicep Peak,Forearm Str,Hits the outer bicep and brachialis.,Curl across chest toward opposite shoulder.,Watch Video,w_room,,Hits the outer bicep and brachialis.
29,Sumo Squat,Beg,Glutes/Quads,Med,3,15,--,60s,Inner Thigh,⭐⭐,Squat,Hip Mobility,Adductor Str,Wide-stance squat variation.,Wide stance; toes out; hold weights between legs.,Watch Video,w_room,,Wide-stance squat variation.
30,Back Fly,Inter,Shoulders,Low,3,15,--,45s,Rear Delt,⭐,None,Posture,Scap. Stability,Chest-supported rear delt work.,Lean on incline bench; reverse fly motion.,Watch Video,w_room,,Chest-supported rear delt work.
31,Incline Fly,Inter,Chest,Low,3,12,--,45s,Upper Pec Iso,⭐⭐,DB Fly,Upper Stretch,Pec Fibers,Targets upper chest fibers.,Bench at 45°; perform wide fly motion.,Watch Video,w_room,,Targets upper chest fibers.
32,Curl to Press,Inter,Shoulders,Med,3,12,--,60s,Coordination,⭐⭐,Bicep Curl,Fluidity,Combo Move,Bicep and shoulder compound move.,Bicep curl then transition into overhead press.,Watch Video,w_room,,Bicep and shoulder compound move.
33,Tricep Extension,Beg,Triceps,Low,3,12,--,45s,Overhead Ext,⭐,None,Arm Size,Tricep Shape,Bilateral overhead tricep work.,Hold one DB; lower behind neck; extend up.,Watch Video,w_room,,Bilateral overhead tricep work.
34,Squeeze Press,Inter,Chest,Med,3,10,--,60s,Inner Pec,⭐⭐,Bench Press,Chest Tension,Pec Squeeze,Constant tension chest press.,Press weights together; perform bench press.,Watch Video,w_room,,Constant tension chest press.
35,Floor Press,Inter,Chest,Low,3,12,--,60s,Lockout,⭐,Bench Press,Tri Power,Bench Assist,Targets the top half of the press.,Lie on floor; lower until elbows touch; press.,Watch Video,w_room,,Targets the top half of the press.
36,Incline Row,Inter,Back,Med,3,12,--,60s,Strict Pulling,⭐⭐,DB Row,No Cheat,Lat Isolation,Chest-supported back isolation.,Lie chest-down on incline; pull weights.,Watch Video,w_room,,Chest-supported back isolation.
37,Step Up,Beg,Quads,Med,3,10ea,--,60s,Unilat. Power,⭐⭐,Lunge,Balance,Leg Drive,Functional lower body movement.,Step on box; drive through heel to lift.,Watch Video,w_room,,Functional lower body movement.
38,Incline Hammer,Inter,Biceps,Low,3,12,--,45s,Stretch/Width,⭐⭐,Hammer Curl,Brachialis,Detail,Combination of stretch and neutral grip.,Seated on incline; use neutral grip to curl.,Watch Video,w_room,,Combination of stretch and neutral grip.
39,Standing Press,Inter,Shoulders,High,4,8,--,60s,Core Stability,⭐⭐⭐,Sh. Press,Bracing,Strict Power,Pure vertical pressing strength.,Perform shoulder press while standing.,Watch Video,w_room,,Pure vertical pressing strength.
40,Side Bend,Beg,Abs,Low,3,15ea,--,30s,Obliques,⭐,None,Core Balance,Lateral Str,Direct oblique isolation.,Lean to side with DB; pull back with obliques.,Watch Video,w_room,,Direct oblique isolation.
41,Stiff Legged DL,Inter,Hamstrings,High,3,12,--,60s,Ham. Tension,⭐⭐⭐,RDL,Flexibility,Ham. Size,Maximum tension on the hamstrings.,Legs straight; hinge until stretch; stand.,Watch Video,w_room,,Maximum tension on the hamstrings.
42,Dumbbell Clean,Adv,Hamstrings,Max,5,5,--,120s,Explosiveness,⭐⭐⭐,RDL,Power,Triple Ext.,Full-body explosive pull.,Explode from squat; catch at shoulders.,Watch Video,w_room,,Full-body explosive pull.
43,Hip Thrust,Inter,Glutes,Med,4,12,1s Hold,90s,Glute Power,⭐⭐⭐,Bridge,Hip Snap,Force Prod.,Peak glute isolation.,Back against bench; weight on hips; drive up.,Watch Video,w_room,,Peak glute isolation.
44,Bulgarian Split,Adv,Quads,High,4,8ea,--,90s,Elite Unilat.,⭐⭐⭐,Lunge,Hip Strength,Quad Detail,Advanced unilateral leg development.,Back foot on bench; squat with front leg.,Watch Video,w_room,,Advanced unilateral leg development.
45,Goblet Squat,Beg,Quads,Low,3,15,--,45s,Squat Pattern,⭐,None,Depth,Mobility,Teaches proper squat mechanics.,Hold DB at chest; squat; elbows inside knees.,Watch Video,w_room,,Teaches proper squat mechanics.
46,Glute Bridge,Beg,Glutes,Low,3,15,2s Hold,45s,Glute Active,⭐,None,Activation,Posterior Str,Floor-based glute isolation.,Lie on back; weight on hips; lift toward ceiling.,Watch Video,w_room,,Floor-based glute isolation.
47,Wide Curls,Beg,Biceps,Low,3,12,--,45s,Short Head,⭐,Bicep Curl,Bicep Width,Detail,Targets the inner head of the bicep.,Curl with arms flared out to the sides.,Watch Video,w_room,,Targets the inner head of the bicep.
48,Lat to Front,Inter,Shoulders,Med,3,12,--,60s,Coordination,⭐⭐,Lat. Raise,Sh. Endurance,Control,Multi-planar shoulder movement.,Lateral raise; move to front; lower.,Watch Video,w_room,,Multi-planar shoulder movement.
49,Alt. Bench,Inter,Chest,Med,3,10ea,--,60s,Stab./Tension,⭐⭐,Bench Press,Coordination,Time under T.,One arm stays up while other presses.,Hold both up; lower/press one at a time.,Watch Video,w_room,,One arm stays up while other presses.
50,Zottman Curl,Inter,Biceps,Low,3,12,--,45s,Forearm/Bi,⭐⭐,Bicep Curl,Grip Strength,Brachiorad.,Total arm development.,Curl palms up; rotate palms down to lower.,Watch Video,w_room,,Total arm development.
51,Seated Rear Delt,Beg,Shoulders,Low,3,15,--,30s,Post. Health,⭐,None,Posture,Scap. Control,Isolated rear deltoid work.,Sit at edge of bench; lean forward; fly.,Watch Video,w_room,,Isolated rear deltoid work.
52,Incl Squeeze Pr,Inter,Chest,Med,3,10,--,60s,Upper Inner,⭐⭐,Squeeze Press,Upper Pec,Definition,Upper chest tension focus.,Incline bench; press weights together.,Watch Video,w_room,,Upper chest tension focus.
53,Waiter Curls,Beg,Biceps,Low,3,12,--,45s,Peak Tension,⭐,Bicep Curl,Bracing,Bicep Shape,Focuses on the bicep peak.,Hold DB palms up under top plate; curl.,Watch Video,w_room,,Focuses on the bicep peak.
54,Wrist Curl (Up),Beg,Forearms,Low,3,20,--,30s,Flexor Str,⭐,None,Grip,Forearm Size,Direct inner forearm isolation.,Forearms on thighs; palms up; curl wrists up.,Watch Video,w_room,,Direct inner forearm isolation.
55,Decline Bench,Inter,Chest,Med,3,10,--,60s,Lower Pec,⭐⭐,Bench Press,Lower Pec Def,Press Power,Targets lower pectoral fibers.,Bench at downward angle; press weights.,Watch Video,w_room,,Targets lower pectoral fibers.
56,Single DB Sumo,Beg,Quads,Low,3,15,--,60s,Glute/Leg,⭐,Sumo Squat,Mobility,Leg Volume,Heavy single-weight leg work.,Hold DB by end between legs; wide squat.,Watch Video,w_room,,Heavy single-weight leg work.
57,Iron Cross,Adv,Shoulders,High,3,8,--,90s,Static Strength,⭐⭐⭐,Lateral Raise,Isometric Str,Elite Control,Extreme shoulder/leg stability.,Hold weights at side/shoulder height; squat.,Watch Video,w_room,,Extreme shoulder/leg stability.
58,Wrist Curl (Dn),Beg,Forearms,Low,3,20,--,30s,Extensor Str,⭐,None,Grip Health,Forearm Shape,Direct outer forearm isolation.,Forearms on thighs; palms down; curl up.,Watch Video,w_room,,Direct outer forearm isolation.
59,Reverse Curl,Beg,Biceps,Low,3,12,--,45s,Brachialis,⭐,Bicep Curl,Forearm Size,Grip,Overhand bicep curl.,Stand; palms-down grip; curl to shoulders.,Watch Video,w_room,,Overhand bicep curl.
60,Around Worlds,Inter,Chest,Low,3,12,--,45s,Mobility/Pec,⭐,None,Sh. Health,Pec Stretch,Chest mobility and pectoral work.,Move weights in arc from hips to overhead.,Watch Video,w_room,,Chest mobility and pectoral work.
1,KB Swing,Inter,Hamstrings,High,4,15-20,--,60s,Hip Power,⭐⭐⭐,Hinge,Hip Snap,Power Output,Explosive hinge for power and conditioning.,Hinge; snap hips to swing bell to chest height.,Watch Video,w_room,,Explosive hinge for power and conditioning.
2,KB Sumo Squat,Inter,Hamstrings,Med,3,12,--,45s,Inner Thigh,⭐⭐,Squat,Hip Mobility,Glute Volume,Wide-stance squat for inner thighs/glutes.,Feet wide; toes out; keep chest up; lower deep.,Watch Video,w_room,,Wide-stance squat for inner thighs/glutes.
3,Kettlebell Row,Beg,Back,Low,3,10ea,--,45s,Lat Stability,⭐,None,Posture,Pull Strength,Unilateral back builder for stability.,Hinge; back flat; pull bell to hip; brace core.,Watch Video,w_room,,Unilateral back builder for stability.
4,KB Upright Row,Beg,Shoulders,Low,3,12,--,30s,Trap Growth,⭐,None,Sh. Width,Trap Detail,Targets upper traps and lateral deltoids.,Pull handle to chin; elbows high; pull apart.,Watch Video,w_room,,Targets upper traps and lateral deltoids.
5,KB Alternating Row,Beg,Back,Low,3,12ea,--,45s,Back Volume,⭐,KB Row,Coordination,Back Thickness,High-volume row focusing on individual sides.,Switch hands at floor; keep back neutral.,Watch Video,w_room,,High-volume row focusing on individual sides.
6,Gorilla Rows,Inter,Back,Med,3,10ea,--,60s,Core/Lat,⭐⭐,KB Row,Core Bracing,Lat Density,Alternating row from a static deep hinge.,Wide stance; row one while pushing other down.,Watch Video,w_room,,Alternating row from a static deep hinge.
7,American Swing,Inter,Glutes,High,4,15,--,60s,OH Power,⭐⭐⭐,KB Swing,Sh. Mobility,CrossFit Prep,Full-range swing used in power drills.,Swing all the way overhead; keep core tight.,Watch Video,w_room,,Full-range swing used in power drills.
8,SL KB Deadlift,Inter,Hamstrings,High,3,10ea,--,60s,Balance,⭐⭐⭐,Deadlift,Ankle Stab.,Hinge Control,Elite balance and posterior chain isolation.,Balance on one leg; hinge while lowering bell.,Watch Video,w_room,,Elite balance and posterior chain isolation.
9,KB Goblet Squat,Inter,Quads,Med,4,12,--,60s,Posture,⭐⭐,Squat,Depth,Front Load,Best variation for teaching squat posture.,Hold at chest; elbows inside knees at bottom.,Watch Video,w_room,,Best variation for teaching squat posture.
10,KB Front Squat,Inter,Quads,Med,3,10ea,--,60s,Quad Focus,⭐⭐,Goblet Sq,Torso Angle,Symmetry,Unilateral focus with offset rack position.,"Hold in ""rack"" on forearm; maintain upright.",Watch Video,w_room,,Unilateral focus with offset rack position.
11,SA KB Swing,Inter,Hamstrings,Med,3,12ea,--,45s,Anti-Rotation,⭐⭐,KB Swing,Core Tension,Grip Strength,Adds anti-rotational demand to the swing.,Standard swing with one hand; resist twisting.,Watch Video,w_room,,Adds anti-rotational demand to the swing.
12,Alt. SA Swing,Adv,Hamstrings,High,4,20,--,60s,Coordination,⭐⭐⭐,SA Swing,Reflexes,Athleticism,Explosive coordination and core stability.,Switch hands in mid-air at the apex of swing.,Watch Video,w_room,,Explosive coordination and core stability.
13,Dual Front Squat,Inter,Quads,High,4,8,--,90s,Heavy Load,⭐⭐⭐,KB Front Sq,Bracing,Total Mass,Heavy bilateral quad and core strengthener.,Rack two bells; tuck elbows; sit deep.,Watch Video,w_room,,Heavy bilateral quad and core strengthener.
14,Sit Up and Press,Beg,Abs,Med,3,10,--,45s,Core Power,⭐⭐,Sit Up,Ab Strength,Sh. Stability,Combines core flexion with shoulder power.,Perform sit-up; press bell overhead at top.,Watch Video,w_room,,Combines core flexion with shoulder power.
15,Sumo High Pull,Inter,Trapezius,High,3,12,--,60s,Expl. Pull,⭐⭐⭐,Sumo Squat,Speed,Trap Power,Explosive pull from floor to shoulder.,Pull from floor to chin in one fluid motion.,Watch Video,w_room,,Explosive pull from floor to shoulder.
16,KB OH Press,Inter,Shoulders,Med,3,8ea,--,60s,Strict Power,⭐⭐,Press,Lockout,Sh. Stability,Vertical press with offset center of mass.,Press from rack; rotate palm; lock out.,Watch Video,w_room,,Vertical press with offset center of mass.
17,Kettlebell Halo,Beg,Shoulders,Low,3,10ea,--,30s,Mobility,⭐,None,Sh. Health,Range of Mot.,Dynamic mobility and core stability move.,Circle bell around head; keep core stiff.,Watch Video,w_room,,Dynamic mobility and core stability move.
18,KB Good Morning,Inter,Hamstrings,Med,3,12,--,45s,Hinge Stretch,⭐⭐,Hinge,Ham. Flex,Back Strength,Posterior chain stretch and strength.,Hold bell at chest; hinge hips back; soft knees.,Watch Video,w_room,,Posterior chain stretch and strength.
19,KB Power Clean,Inter,Hamstrings,High,4,8ea,--,60s,Catch Speed,⭐⭐⭐,KB Swing,Explosive,Field Power,Explosive move from floor to rack.,"Pull; rotate hand to ""catch"" bell at shoulder.",Watch Video,w_room,,Explosive move from floor to rack.
20,KB Windmill,Inter,Abs,High,3,8ea,--,60s,Oblique Pow,⭐⭐⭐,OH Press,Flexibility,T-Spine Mob.,Oblique strength and shoulder stability.,Bell OH; hinge hip out; reach toward floor.,Watch Video,w_room,,Oblique strength and shoulder stability.
21,Lunge w/ Rot.,Inter,Quads,Med,3,10ea,--,45s,Stability,⭐⭐,Lunge,Balance,Core Sync,Coordination-heavy leg and core move.,Step into lunge; rotate bell over front leg.,Watch Video,w_room,,Coordination-heavy leg and core move.
22,SA OH Lunge,Inter,Quads,High,3,8ea,--,60s,Elite Stab.,⭐⭐⭐,OH Press,Scap. Control,Vertical Path,Extreme stability for shoulders and core.,Bell locked OH; lunge with vertical arm.,Watch Video,w_room,,Extreme stability for shoulders and core.
23,SA Farmer Walk,Beg,Forearms,Med,3,--,40s Work,45s,Grip/Core,⭐,None,Grip Dur.,Anti-Lateral,Functional grip and anti-lateral core work.,Hold heavy bell; walk with perfect posture.,Watch Video,w_room,,Functional grip and anti-lateral core work.
24,SA KB Deadlift,Beg,Hamstrings,Med,3,10ea,--,45s,Bracing,⭐,Deadlift,Alignment,Core Tension,Teaches core bracing during heavy pulls.,Bell between feet; hinge and pull one-handed.,Watch Video,w_room,,Teaches core bracing during heavy pulls.
25,Turkish Get Up,Inter,Shoulders,Max,3,5ea,--,90s,Total Body,⭐⭐⭐,OH Press,Mobility,Elite Health,Total-body mobility and strength sequence.,Move floor to standing with bell locked OH.,Watch Video,w_room,,Total-body mobility and strength sequence.
26,Suitcase DL,Beg,Quads,Med,3,12ea,--,45s,Side Load,⭐,None,Level Hips,Core Bracing,Core-intensive pull with weight at side.,Bell at side; deadlift up; resist leaning.,Watch Video,w_room,,Core-intensive pull with weight at side.
27,KB Hang Clean,Inter,Hamstrings,High,4,8ea,--,60s,Hip Snap,⭐⭐⭐,KB Swing,Power,Triple Ext.,Explosive power starting from the hips.,Start at thighs; snap hips; catch in rack.,Watch Video,w_room,,Explosive power starting from the hips.
28,Clean and Jerk,Inter,Quads,Max,4,6ea,--,90s,Met-Con,⭐⭐⭐,KB Clean,Stamina,Expl. Force,Full-body explosive conditioning.,Clean to rack; dip and drive to lockout.,Watch Video,w_room,,Full-body explosive conditioning.
29,Kettlebell Jerk,Inter,Shoulders,High,3,8ea,--,60s,Drive Power,⭐⭐⭐,OH Press,Speed,Lockout,Uses leg drive for max overhead power.,Dip and drive; drop under bell to catch.,Watch Video,w_room,,Uses leg drive for max overhead power.
30,KB Thruster,Inter,Shoulders,Max,4,10,--,90s,Metabolic,⭐⭐⭐,Goblet Sq,Conditioning,Engine Build,Full goblet squat into overhead press.,Squat deep; explosively press as you stand.,Watch Video,w_room,,Full goblet squat into overhead press.
31,Bottoms-Up Press,Inter,Shoulders,High,3,8ea,--,60s,Stability,⭐⭐⭐,OH Press,Grip,Cuff Health,Extreme grip and shoulder stability challenge.,Hold bell upside down; press overhead.,Watch Video,w_room,,Extreme grip and shoulder stability challenge.
32,KB Calf Raise,Beg,Calves,Low,4,15,--,45s,Hypertrophy,⭐,None,Calf Size,Ankle Health,Weighted isolation for the lower legs.,Hold bells at sides; rise onto toes.,Watch Video,w_room,,Weighted isolation for the lower legs.
33,KB Snatch,Adv,Shoulders,Max,4,10ea,--,90s,High Speed,⭐⭐⭐,KB Swing,Power,Vertical Pull,High-intensity floor-to-overhead pull.,Swing; pull vertically; punch hand through.,Watch Video,w_room,,High-intensity floor-to-overhead pull.
34,Balance Goblet,Adv,Quads,High,3,10,--,60s,Propriocept.,⭐⭐⭐,Goblet Sq,Stability,Core Depth,Stability focus for the legs and core.,Goblet squat while on balance trainer.,Watch Video,w_room,,Stability focus for the legs and core.
35,Racked Rev Lunge,Inter,Quads,Med,3,10ea,--,60s,Offset Bal.,⭐⭐,Lunge,Symmetry,Hip Stab.,Offset balance for leg development.,Rack bell one side; lunge with opposite leg.,Watch Video,w_room,,Offset balance for leg development.
36,SA KB Press,Inter,Shoulders,Med,3,10ea,--,60s,Strict Power,⭐⭐,OH Press,Symmetry,Press Force,Standard unilateral shoulder strength.,Strict press from rack; engage lats.,Watch Video,w_room,,Standard unilateral shoulder strength.
37,Bottoms-Up Clean,Inter,Forearms,High,3,8ea,--,60s,Grip Control,⭐⭐⭐,KB Clean,Forearm Size,Wrist Stab.,Grip and forearm control movement.,Clean bell into vertical bottoms-up hold.,Watch Video,w_room,,Grip and forearm control movement.
38,SA Suitcase DL,Inter,Quads,Med,3,10ea,--,45s,Spinal Align.,⭐⭐,Suitcase DL,Anti-Lateral,Core Brace,Core bracing during a unilateral pull.,Keep spine vertical while pulling side bell.,Watch Video,w_room,,Core bracing during a unilateral pull.
39,SA OH Squat,Adv,Quads,Max,3,8ea,--,90s,Elite Mob.,⭐⭐⭐,SA OH Lunge,Flexibility,Total Control,Elite mobility and core stability move.,Deep squat while keeping arm vertical OH.,Watch Video,w_room,,Elite mobility and core stability move.
40,KB TGU (Alt),Inter,Shoulders,Max,3,5ea,--,90s,Sequence,⭐⭐⭐,OH Press,Mobility,Coordination,(Alt for 25) Total-body mobility sequence.,Same as TGU; focus on unique load path.,Watch Video,w_room,,(Alt for 25) Total-body mobility sequence.
41,KB Pistol Squat,Adv,Quads,Max,3,5ea,--,90s,Raw Strength,⭐⭐⭐,Squat,Balance,Elite Legs,Advanced unilateral leg strength.,Hold bell; squat deep on one leg.,Watch Video,w_room,,Advanced unilateral leg strength.
42,KB Toe Walks,Beg,Calves,Med,3,--,45s Work,45s,Endurance,⭐,None,Foot Strength,Functional,Functional calf endurance and strength.,Hold heavy bells; walk on balls of feet.,Watch Video,all,,Functional calf endurance and strength.
1,Alt. MB Push Up,Beg,Chest,Med,3,12,--,45s,Asym. Strength,⭐⭐,Push-up,Shoulder Stab.,Chest Balance,Push-up addressing strength imbalances.,One hand on ball; push up; roll ball to other hand.,Watch Video,all,,Push-up addressing strength imbalances.
2,MB Russian Twist,Beg,Abs,Low,3,20,--,30s,Oblique Eng.,⭐,None,Rotation,Core Endurance,Weighted rotational exercise for obliques.,"Sit, feet off floor; rotate ball side-to-side.",Watch Video,all,,Weighted rotational exercise for obliques.
3,Med Ball Slam,Beg,Back/Core,High,4,10,--,60s,Expl. Power,⭐⭐⭐,None,Power Output,Athletic Engine,High-intensity move for power/cardio.,Reach overhead; slam ball down using core/arms.,Watch Video,all,,High-intensity move for power/cardio.
