Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,Env.,equipment,sport
360,Drag Screen,Inter,Full Body,Med,3,10,--,60s,Spacing,⭐⭐,None,Screen Quality,Roll Timing,Transition ball screen in the slot.,Sprint into screen; angle for guard.,🎥,Gym,Basketball,Basketball
172,Dream Shake,Adv,Core/Hips,High,3,8,60s,60s,Deception,⭐⭐⭐⭐⭐,Drill 96,Fluidity,Elite Footwork,Shoulder fakes in post into jumper [04:20:00].,Sell the fake with the eyes.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15600s,Gym,Basketball,Basketball
247,Dream Shake,Adv,Full Body,Max,3,10,--,90s,Elite Footwork,⭐⭐⭐,Fake Spin,Coordination,Rhythm,Hakeem Olajuwon shoulder/body shake.,Rock shoulders; pick up low; fake/score.,🎥,Gym,Basketball,Basketball
308,Dream Shake (Base),Adv,Full Body,Max,3,10,--,90s,Elite Scoring,⭐⭐⭐,Fake Spin,Rhythm,Game Speed,Shoulder shake into a turnaround.,Rock shoulders; maintain pivot foot.,🎥,Gym,Basketball,Basketball
230,Dribble Away Jumper,Inter,Quads,Med,3,12,--,60s,Space Creation,⭐⭐,Jump Shot,7/12 Made,10/12 Made,Dribble away from basket against big defenders.,Create space with dribble; square up.,🎥,Gym,Basketball,Basketball
388,Dribble Drop Step,Beg,Quads,Med,3,12,--,45s,Power,⭐,None,Gain Ground,Explosive,One dribble directly into a drop step.,Pound dribble and step simultaneously.,🎥,Gym,Basketball,Basketball
122,Dribble Figure 8 Run,Adv,CNS,High,3,5,30s,30s,Coordination,⭐⭐⭐⭐,Drill 121,No Fumbles,Elite,Run while dribbling figure 8 [01:23:15].,Focus on ball-foot timing.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4995s,Gym,Basketball,Basketball
121,Dribble Figure 8 Walk,Beg,Fingers,Low,3,5,45s,20s,Dexterity,⭐⭐,Drill 79,Consistency,Speed,Walk while dribbling figure 8 [01:22:00].,"Stay low, look ahead.",https://www.youtube.com/watch?v=aySQTi4vyos&t=4920s,Gym,Basketball,Basketball
183,Dribble Hand-Off (DHO),Int,Full Body,Med,4,12,60s,30s,Team Play,⭐⭐⭐,None,Synergy,Clean,Deliver ball to teammate on move [05:30:00].,"Flip the ball, don't pass it.",https://www.youtube.com/watch?v=aySQTi4vyos&t=19800s,Gym,Basketball,Basketball
480,Dribble-Up 3pt,Int,Lungs,High,3,15,60s,45s,Range,⭐⭐⭐,Drill 67,Consistency,80% Make,Dribble from half court into 3 [03:44:00].,Step into the shot.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13440s,Gym,Basketball,Basketball
516,Dribble: 100 Pounds,Beg,Shoulders,Low,2,100,-,60s,Stamina,⭐⭐,Drill 1,Speed,Strength,100 rapid pounds each hand.,Pound below the knee.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3720s,Gym,Basketball,Basketball
617,Dribble: 2-Ball B-Back,Adv,CNS,Extreme,2,20,-,60s,Complexity,⭐⭐⭐⭐⭐,Drill 126,Fluidity,Elite,Behind back with two balls.,Keep balls low.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5475s,Gym,Basketball,Basketball
616,Dribble: 2-Ball B-Leg,Adv,CNS,Extreme,2,20,-,60s,Complexity,⭐⭐⭐⭐⭐,Drill 126,Fluidity,Elite,Between legs with two balls.,Rhythmic scissor steps.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5400s,Gym,Basketball,Basketball
517,Dribble: 2-Ball Cross,Adv,CNS,Extreme,2,20,-,60s,Coordination,⭐⭐⭐⭐⭐,Drill 126,No Loss,Elite,Crossover both balls at once.,Speed of hands is key.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5400s,Gym,Basketball,Basketball
618,Dribble: 2-Ball High/L,Adv,Triceps/CNS,High,3,30s,-,60s,Control,⭐⭐⭐⭐,Drill 128,Vary Heights,No Loss,"One ball at head height, one at ankle.",Focus on the low ball.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5550s,Gym,Basketball,Basketball
518,Dribble: 2-Ball Jog,Int,Quads/CNS,Med,3,Full,-,60s,Handling,⭐⭐⭐,Drill 133,Control,Speed,Jog full court with 2 balls.,Push balls ahead.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6000s,Gym,Basketball,Basketball
619,Dribble: 2-Ball Wall,Elite,Shoulders/CNS,Extreme,2,20,-,90s,Coordination,⭐⭐⭐⭐⭐,Drill 163,Consistency,Elite,2-ball pound while one taps the wall.,Incredible focus needed.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9720s,Gym,Basketball,Basketball
590,Dribble: Ankle Pounds,Beg,Fingers,Low,3,50,-,20s,Feel,⭐⭐,Drill 72,Speed,Control,Dribble as low as possible at ankle.,Machine gun rhythm.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3720s,Gym,Basketball,Basketball
620,Dribble: Blindfold,Elite,CNS/Feel,Extreme,2,60s,-,120s,Proprioception,⭐⭐⭐⭐⭐,Drill 1,No Loss,Mastery,Stationary dribble while blindfolded.,Listen to the ball's bounce.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3720s,Gym,Basketball,Basketball
593,Dribble: Crossover Run,Int,Quads/Lungs,Med,3,Full,-,45s,Movement,⭐⭐⭐,Drill 82,Speed,Control,Full court run with crossovers.,Don't slow down for the cross.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4680s,Gym,Basketball,Basketball
551,Dribble: Heavy Ball (P),Int,Forearms,Med,3,50,30s,45s,Strength,⭐⭐⭐,Drill 1,Steady,Strength,Pound dribbles with a weighted ball [01:00:00].,Push through the shoulder.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3600s,Gym,Basketball,Basketball
589,Dribble: Knee Circle,Beg,Wrist,Low,3,20,-,20s,Dexterity,⭐⭐,None,Speed,Control,Dribble ball around both knees.,Stay very low.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3745s,Gym,Basketball,Basketball
554,Dribble: Plastic Bag,Adv,Fingers/CNS,Extreme,3,60s,-,60s,Feel,⭐⭐⭐⭐⭐,Drill 1,No Loss,Elite Control,Dribble a ball wrapped in a plastic bag [01:35:00].,Rely on finger-tip touch.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5700s,Gym,Basketball,Basketball
591,Dribble: Spider Drill,Int,CNS/Wrist,Med,3,-,30s,45s,Coordination,⭐⭐⭐,None,No Fumbles,Speed,Front-front-back-back rhythm dribble.,Rhythmic hand movement.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3800s,Gym,Basketball,Basketball
592,Dribble: Wall Toss Pound,Adv,CNS,High,3,20,-,45s,Coordination,⭐⭐⭐⭐,Drill 123,No Drops,Elite,"Pound ball, toss tennis ball off wall.",Don't look at basketball.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5100s,Gym,Basketball,Basketball
257,Drive Baseline Reverse,Inter,Legs/Core,Med,3,10ea,--,60s,Finishing,⭐⭐,Layup,Clean Reverse,High %,Drive baseline for a reverse layup.,Shield ball with rim; soft finish.,🎥,Gym,Basketball,Basketball
156,Drop B-Back,Int,Quads/CNS,Med,3,20,45s,30s,Defense,⭐⭐⭐,None,Stance,Speed,Drop into wide behind-back [02:32:45].,Keep ball below knees.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9165s,Gym,Basketball,Basketball
155,Drop B-Legs,Int,Quads/CNS,Med,3,20,45s,30s,Stability,⭐⭐⭐,None,Stance,Speed,Drop into wide between-legs [02:32:30].,Weight centered between feet.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9150s,Gym,Basketball,Basketball
154,Drop Crossover,Int,Quads/CNS,Med,3,20,45s,30s,Balance,⭐⭐⭐,None,Stance,Speed,Drop into wide stance crossover [02:32:00].,Chest should stay upright.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9120s,Gym,Basketball,Basketball
431,Drop Step (Baseline),Beg,Quads,Med,3,12,--,45s,Power,⭐,None,Footwork,Finish,Drop step toward the baseline.,Use the rim to protect the ball.,🎥,Gym,Basketball,Basketball
93,Drop Step (Left),Beg,Glutes/Back,Low,4,10,60s,45s,Post Scoring,⭐⭐,None,Power,Foot Speed,Pivot toward baseline for a layup.,Opposite of Drill 92.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4100s,Gym,Basketball,Basketball
430,Drop Step (Middle),Beg,Quads,Med,3,12,--,45s,Power,⭐,None,Footwork,Finish,Drop step toward the middle of lane.,Seal defender; explosive jump.,🎥,Gym,Basketball,Basketball
92,Drop Step (Right),Beg,Glutes/Back,Low,4,10,60s,45s,Post Scoring,⭐⭐,None,Power,Foot Speed,Pivot toward baseline for a layup.,"Chin the ball, big step.",https://www.youtube.com/watch?v=aySQTi4vyos&t=4100s,Gym,Basketball,Basketball
314,Drop Step Counter,Adv,Full Body,High,3,10,--,90s,IQ,⭐⭐⭐,Drop Step,Reaction,Fluidity,"Start drop step, counter with spin.",Read defender; quick weight shift.,🎥,Gym,Basketball,Basketball
303,Drop Step Reverse,Inter,Legs/Core,Med,3,10ea,--,60s,Footwork,⭐⭐,Drop Step,8/10 Made,10/10 Made,Drop step into a reverse finish.,Seal defender; use rim as a shield.,🎥,Gym,Basketball,Basketball
459,Drop-Step Pull-back,Int,Quads/Hips,Med,3,12,60s,30s,Separation,⭐⭐⭐,None,Distance,Baiting,"Drive, drop-step, and pull back to 3 [03:20:00].",Full stop before the pull-back.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12000s,Gym,Basketball,Basketball
293,Duck In (Across),Inter,Glutes/Quads,High,4,10,--,60s,Positioning,⭐⭐⭐,None,Contact,Seal,Seal defender across the paint.,Seek contact; wide base; hands up.,🎥,Gym,Basketball,Basketball
323,Duck In (Seal),Adv,Glutes,High,4,8,--,60s,Power,⭐⭐⭐,None,Impact,Deep Position,Physical duck in as ball is moved.,Explode across lane; lock defender.,🎥,Gym,Basketball,Basketball
294,Duck In (Up),Inter,Glutes/Quads,High,4,10,--,60s,Positioning,⭐⭐⭐,None,Contact,Seal,Seal defender moving up the lane.,Hit defender early; stay low.,🎥,Gym,Basketball,Basketball
372,Duck In Lob,Adv,Full Body,Max,3,8,--,90s,Scoring,⭐⭐⭐,None,Verticality,Explosion,Seal and immediately jump for lob.,Catch and finish in one motion.,🎥,Gym,Basketball,Basketball
298,Dunker Spot Scoring,Beg,Quads/Glutes,Low,3,15,--,45s,Finishing,⭐,None,Hands Ready,Catch/Finish,Scoring from the dunker spot.,Stay low; square to rim; high hands.,🎥,Gym,Basketball,Basketball
367,Elbow Ball Screen,Inter,Full Body,High,3,10,--,60s,IQ,⭐⭐,None,Timing,Execution,Screening at the high post/elbow.,Set feet; roll or pop based on D.,🎥,Gym,Basketball,Basketball
310,Elbow Catch & Rip,Beg,Quads/Arms,Low,3,12,--,45s,Finishing,⭐,None,Explosion,Power Finish,"Catch at elbow, rip, and drive.",Violent rip; shoulder down to attack.,🎥,Gym,Basketball,Basketball
422,Elbow DHO (Keep),Inter,Quads,Med,3,10,--,60s,Deception,⭐⭐,DHO,Read Defense,Finish,Fake handoff at elbow and drive.,Protect ball; explosive first step.,🎥,Gym,Basketball,Basketball
204,Elbow Jumper (Timed),Int,Shoulders,Med,3,15,60s,60s,Consistency,⭐⭐⭐,Drill 11,10 Makes,13 Makes,Continuous elbow jumpers [00:44:00].,Follow your shot for rebound.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2640s,Gym,Basketball,Basketball
299,Elbow Play (High Post),Beg,Full Body,Low,3,15,--,45s,Awareness,⭐,None,Vision,Passing,Playing and passing from the elbow.,Face up; see cutters; high ball.,🎥,Gym,Basketball,Basketball
397,Elbow Rip-Through Jumper,Inter,Shoulders,Med,3,12,--,60s,Scoring,⭐⭐,None,9/12 Made,11/12 Made,"Catch at elbow, rip through, pull up.",Violent rip; stop on a dime.,🎥,Gym,Basketball,Basketball
543,Elevator Screen Shot,Adv,CNS/Lungs,High,3,10,60s,60s,Timing,⭐⭐⭐⭐,None,Quick Release,Elite,"Cut between two screeners who ""close"" [05:21:00].",Sprint through the gap.,https://www.youtube.com/watch?v=aySQTi4vyos&t=19260s,Gym,Basketball,Basketball
330,Euro Step (Post),Adv,Core/Legs,High,3,10,--,90s,Agility,⭐⭐⭐,Layup,Coordination,Change Direction,"Catch on move, Euro past defender.",Wide steps; high ball protection.,🎥,Gym,Basketball,Basketball
99,Euro Step Finish,Adv,Glutes/Ankles,High,4,10,60s,45s,Evasion,⭐⭐⭐⭐,None,Late Step,Balance,Two steps in different directions.,Swing the ball to protect it.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4220s,Gym,Basketball,Basketball
476,Euro to Jumper,Adv,CNS/Core,High,3,10,60s,60s,Evasion,⭐⭐⭐⭐,Drill 99,Stability,Score,Euro step into a short pull-up [03:57:00].,Brake quickly on second step.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
283,Eye Contact Shot Fake,Inter,Eyes/Core,Med,3,12,--,60s,IQ,⭐⭐,Shot Fake,Big Eyes,Look at Rim,Using eyes to sell the post shot fake.,Look at rim; get eyes big.,🎥,Gym,Basketball,Basketball
107,Face Up Drive (L),Int,Hips,Med,3,15,45s,30s,Attacking,⭐⭐⭐,None,First Step,Explosive,"Catch in post, turn, and drive left.",Stay low on the turn.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4070s,Gym,Basketball,Basketball
106,Face Up Drive (R),Int,Hips,Med,3,15,45s,30s,Attacking,⭐⭐⭐,None,First Step,Explosive,"Catch in post, turn, and drive right.",Rip the ball through low.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4070s,Gym,Basketball,Basketball
408,Face Up Hesitation,Inter,Core,High,3,10,--,60s,Pace,⭐⭐,None,Rhythm,Deception,Freeze the defender with a face-up hezi.,Pause the ball; eyes on rim; then go.,🎥,Gym,Basketball,Basketball
305,Face Up Jab Drive,Beg,Quads,Low,3,15,--,45s,Agility,⭐,None,Speed Burst,Elite First Step,Jab at defender and explode past.,Sharp jab; ball on hip; quick burst.,🎥,Gym,Basketball,Basketball
382,Face Up Jab-Cross,Inter,Quads,Med,3,10ea,--,60s,Agility,⭐⭐,Jab,Speed,Displacement,"Jab one way, cross over to the other.",Hard jab to freeze; low crossover.,🎥,Gym,Basketball,Basketball
170,Face Up Jump Shot,Int,Shoulders/Core,Med,4,15,60s,45s,Post Scoring,⭐⭐⭐,None,60% Make,80% Make,"Face up from post, shoot jumper [04:16:00].",Square feet to rim instantly.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15360s,Gym,Basketball,Basketball
249,Face Up Shot,Beg,Shoulders/Quads,Low,3,15,--,45s,Shooting,⭐,None,11/15 Made,14/15 Made,Standard face up jump shot from post.,Meet pass; pivot; square; shoot.,🎥,Gym,Basketball,Basketball
229,Face Up Shot Fake Shot,Beg,Quads/Shoulders,Low,3,15,--,45s,Shooting,⭐,None,10/15 Made,13/15 Made,"Face up, fake the shot, and shoot.",Look at rim; realistic fake; stay on balance.,🎥,Gym,Basketball,Basketball
339,Face Up Sweep,Beg,Quads,Low,3,15,--,45s,Agility,⭐,None,Low Rip,Explosion,Face up and sweep ball low to drive.,Violently rip ball; long first step.,🎥,Gym,Basketball,Basketball
316,Fade (Baseline),Inter,Quads,High,3,10,--,90s,Scoring,⭐⭐,Jump Shot,6/10 Made,8/10 Made,Turnaround fadeaway to baseline.,Separation; high arc; balanced landing.,🎥,Gym,Basketball,Basketball
317,Fade (Middle),Inter,Quads,High,3,10,--,90s,Scoring,⭐⭐,Jump Shot,6/10 Made,8/10 Made,Turnaround fadeaway to middle.,Shield ball; high release; fade back.,🎥,Gym,Basketball,Basketball
483,Fadeaway Elbow (L),Adv,Core/Back,High,3,10,60s,60s,Shot Creation,⭐⭐⭐⭐,Drill 171,Balance,70% Make,Post up and fade over left shoulder [04:17:15].,Find the rim early.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15435s,Gym,Basketball,Basketball
482,Fadeaway Elbow (R),Adv,Core/Back,High,3,10,60s,60s,Shot Creation,⭐⭐⭐⭐,Drill 171,Balance,70% Make,Post up and fade over right shoulder [04:17:00].,Leg kick for balance.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15420s,Gym,Basketball,Basketball
345,Fake DHO Drive,Inter,Quads,Med,3,10,--,60s,Deception,⭐⭐,DHO,Sell Fake,Quick First Step,Hand-off fake into a rim attack.,Head and ball move toward cutter.,🎥,Gym,Basketball,Basketball
243,Fake Drop Step (Off Dribble),Inter,Legs/Abs,Med,3,10,--,60s,Deception,⭐⭐,Drop Step,Sell Move,Counter,Dribble and fake a drop step to post up.,Fake the step; maintain position; score.,🎥,Gym,Basketball,Basketball
239,Fake Middle Drop Step,Inter,Quads/Glutes,Med,3,10ea,--,60s,Footwork,⭐⭐,Drop Step,Quickness,Power,Fake drive middle then drop step baseline.,Plant foot; quick turn; power up.,🎥,Gym,Basketball,Basketball
319,Fake Pivot Finish,Inter,Core,Med,3,12,--,60s,Deception,⭐⭐,Shot Fake,Footwork,Precision,"Shot fake, reverse pivot to layup.",Keep pivot grounded; sell fake.,🎥,Gym,Basketball,Basketball
258,Fake Reverse Step Back,Adv,Legs/Core,High,3,10,--,90s,Scoring,⭐⭐⭐,Reverse Layup,Separation,Elite Move,Fake reverse layup into a step back.,Sell reverse; hard plant/push.,🎥,Gym,Basketball,Basketball
228,Fake Spin (Left),Inter,Legs/Abs,Med,3,10ea,--,45s,Deception,⭐⭐,None,Form Control,Game Speed,Shoulder and hip turn to fake a spin left.,Sharp shoulder turn; maintain balance.,🎥,Gym,Basketball,Basketball
290,Fake Spin (Patience),Inter,Shoulders/Abs,Med,3,12,--,45s,Pace,⭐⭐,None,Balance,Rhythm,Using a fake spin to keep defense off-balance.,Shoulder turn; stay grounded.,🎥,Gym,Basketball,Basketball
227,Fake Spin (Right),Inter,Legs/Abs,Med,3,10ea,--,45s,Deception,⭐⭐,None,Form Control,Game Speed,Shoulder and hip turn to fake a spin.,Turn shoulders/hips; keep pivot foot.,🎥,Gym,Basketball,Basketball
385,Fake Spin Jumper,Adv,Full Body,High,3,10,--,90s,Deception,⭐⭐⭐,Spin Move,7/10 Made,9/10 Made,"Fake the spin, return to original side.",Sell the head/shoulder turn; stay on balance.,🎥,Gym,Basketball,Basketball
312,Fake Spin Through,Adv,Core/Legs,High,3,10,--,90s,Complexity,⭐⭐⭐,Up & Under,Coordination,Control,Fake spin into a step-through.,Sell spin; pivot back; long step.,🎥,Gym,Basketball,Basketball
32,Fast Pull-up,Adv,Full Body,High,3,10,30s,45s,Transition,⭐⭐⭐⭐,Speed,2s Release,1.5s Release,Drive hard then stop and shoot,Sell the drive before pull,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1650s),Gym,Basketball,Basketball
79,Figure 8 (Dribble),Int,Finger Pads,Med,3,5,45s,30s,Dexterity,⭐⭐⭐,Drill 78,Continuity,No Carry,Dribble the ball in a figure 8 pattern.,"Use small, quick dribbles.",https://www.youtube.com/watch?v=aySQTi4vyos&t=3750s,Gym,Basketball,Basketball
78,Figure 8 (No Dribble),Beg,Shoulders/Hips,Low,3,10,30s,20s,Hand Speed,⭐⭐,None,Fluidity,Speed,Pass ball through/around legs in an 8 pattern.,Keep the ball close to the body.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3745s,Gym,Basketball,Basketball
645,Figure-8 Dribble (M),Adv,CNS/Wrist,High,3,Length,60s,45s,Dexterity,⭐⭐⭐⭐,Drill 532,Fluidity,Elite,Perform a figure-8 through the legs while running.,"Stay in a low, athletic crouch.",https://www.youtube.com/watch?v=aySQTi4vyos&t=4995s,Gym,Basketball,Basketball
1017,Fin: 1-Foot Floater,Int,Ankles/Wrist,Med,4,15,-,45s,Touch,⭐⭐⭐,Drill 1015,Soft Touch,Score,Running floater off one foot from the lane.,"High arc to get over the ""big.""",https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
1115,Fin: 1-Foot Floater,Int,Ankles/Wrist,Med,4,15,-,45s,Touch,⭐⭐⭐,Drill 1005,Soft Touch,Score,Running floater off one foot from the lane.,"High arc to get over the ""big.""",https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
1018,Fin: 2-Foot Floater,Adv,Core/Wrist,High,4,12,-,60s,Balance,⭐⭐⭐⭐,Drill 1017,Stability,90% Make,Jump stop into a floater for better control.,Stop your momentum before the shot.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
1116,Fin: 2-Foot Floater,Adv,Core/Wrist,High,4,12,-,60s,Balance,⭐⭐⭐⭐,Drill 1005,Stability,90% Make,Jump stop into a floater for better control.,Stop your momentum before the shot.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
914,Fin: 360 Layup,Elite,Core/CNS,Extreme,2,8,-,120s,Body Ctrl,⭐⭐⭐⭐⭐,Drill 766,Rotation,Mastery,Rotate 360 in the air and finish the layup.,Land softly on two feet.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10800s,Gym,Basketball,Basketball
1030,Fin: Baseline Reverse,Int,Hips/Wrist,Med,4,12,-,45s,Evasion,⭐⭐⭐,None,Control,Score,Drive baseline and finish on the other side.,Use the rim as a shield from the block.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10800s,Gym,Basketball,Basketball
1218,Fin: Baseline Reverse,Adv,Hips/Wrist,High,4,12,-,60s,Evasion,⭐⭐⭐⭐,Drill 1030,Control,Score,Use the rim to protect shot on baseline drive.,Spin the ball off the glass.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10800s,Gym,Basketball,Basketball
913,Fin: Contact Floater,Adv,Shoulders/Wrist,High,3,12,-,60s,Absorption,⭐⭐⭐⭐,Drill 696,Stability,Score,"Take a hit in the lane, then release a floater.",Keep your eyes on the rim.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6360s,Gym,Basketball,Basketball
806,Fin: Contact Scoop,Adv,Shoulders/Wrist,High,3,10,-,60s,Touch,⭐⭐⭐⭐,Drill 754,Absorption,Score,Scoop layup while taking a shoulder hit.,Keep eyes on the square.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10400s,Gym,Basketball,Basketball
1273,Fin: Contact Veer,Elite,Shoulders/Core,Extreme,3,10,-,90s,Contact,⭐⭐⭐⭐⭐,Drill 1216,No Strip,Mastery,Initiate contact with veer step and finish.,Bounce off the defender to create space.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10400s,Gym,Basketball,Basketball
587,Fin: Double Clutch (L),Adv,Core/Wrist,High,3,8,-,60s,Evasion,⭐⭐⭐⭐,Drill 448,Air Time,Score,Double clutch finish with left hand.,Hang in the air.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10830s,Gym,Basketball,Basketball
586,Fin: Double Clutch (R),Adv,Core/Wrist,High,3,8,-,60s,Evasion,⭐⭐⭐⭐,Drill 447,Air Time,Score,Bring ball down and back up in air.,Protect with your body.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10800s,Gym,Basketball,Basketball
976,Fin: Double Rim L,Int,Wrist/Touch,Med,4,15,-,45s,Touch,⭐⭐⭐,None,Soft Touch,Score,"Layups on a ""double rim"" (stiff rim).",Requires extreme touch to score.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5340s,Gym,Basketball,Basketball
632,Fin: Euro Reverse,Adv,CNS/Ankles,High,3,10,-,60s,Evasion,⭐⭐⭐⭐,Drill 99,Stability,Score,Euro step that finishes on other side.,Long strides.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
528,Fin: Euro Scoop,Adv,Ankles/Wrist,High,3,10,-,60s,Finishing,⭐⭐⭐⭐,Drill 99,Touch,Score,Euro step into scoop finish.,Long steps to bypass def.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
808,Fin: Euro-Dunk,Elite,Glutes/Core,Extreme,2,5,-,120s,Aggression,⭐⭐⭐⭐⭐,Drill 634,Rim Touch,Flush,Euro-step into a one-hand dunk.,Power through the second step.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
1021,Fin: Euro-Step (L),Adv,Hips/Ankles,High,4,10,-,60s,Evasion,⭐⭐⭐⭐,Drill 1011,Wide Step,Score,Long lateral step to evade the help defender.,The first step must be hard and wide.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
1022,Fin: Euro-Step (R),Adv,Hips/Ankles,High,4,10,-,60s,Evasion,⭐⭐⭐⭐,Drill 1012,Wide Step,Score,Right-side Euro-step around the defender.,"Swing the ball over the ""defender's"" hands.",https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
633,Fin: Floater (2-Foot),Int,Calves/Wrist,Med,4,15,-,45s,Balance,⭐⭐⭐,Drill 101,Height,90% Make,Jump off two feet for a floater.,Maintain vertical balance.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6360s,Gym,Basketball,Basketball
840,Fin: Floating Bank,Int,Wrist/Shoulder,Med,4,15,-,45s,Touch,⭐⭐⭐,Drill 574,Soft Bank,90% Make,Floater off the glass from the wing.,Aim for the top corner of the box.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
838,Fin: Giannis Dunk,Elite,Glutes/Core,Extreme,2,5,-,120s,Power,⭐⭐⭐⭐⭐,Drill 634,Rim Touch,Flush,Two-dribble dunk from half court.,"Long strides, maximum explosion.",https://www.youtube.com/watch?v=aySQTi4vyos&t=21200s,Gym,Basketball,Basketball
836,Fin: Ginobili Euro,Adv,Ankles/Core,High,3,10,-,60s,Evasion,⭐⭐⭐⭐,Drill 657,Wide Step,Score,Extreme lateral Euro-step finish.,Keep the ball high and away.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14220s,Gym,Basketball,Basketball
1028,Fin: High Glass L,Adv,Wrist/Eyes,High,3,15,-,45s,Touch,⭐⭐⭐⭐,Drill 1015,Soft Touch,Score,Finish at the top of the backboard (Left).,"The ball should ""tick"" the top corner.",https://www.youtube.com/watch?v=aySQTi4vyos&t=10500s,Gym,Basketball,Basketball
1029,Fin: High Glass R,Adv,Wrist/Eyes,High,3,15,-,45s,Touch,⭐⭐⭐⭐,Drill 1015,Soft Touch,Score,Finish at the top of the backboard (Right).,Use a finger-roll for maximum lift.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10500s,Gym,Basketball,Basketball
751,Fin: High Glass Spin,Adv,Wrist,High,3,10,-,60s,Touch,⭐⭐⭐⭐,Drill 722,Spin Acc.,Score,Layup with heavy spin high off the backboard.,Flick the fingers across the ball.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10500s,Gym,Basketball,Basketball
978,Fin: High Velocity,Adv,Shoulders/Core,High,3,12,-,60s,Aggression,⭐⭐⭐⭐,Drill 721,No Ball Strip,Score,Drive and finish against multiple pads.,Don't slow down for the contact.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10400s,Gym,Basketball,Basketball
1274,Fin: High-Arc Float,Int,Wrist/Touch,Med,4,15,-,45s,Touch,⭐⭐⭐,None,Soft Touch,Score,Floater with exaggerated high arc.,Use fingertips to control the drop.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6390s,Gym,Basketball,Basketball
1216,Fin: High-Velocity V,Elite,Shoulders/Core,Extreme,3,10,-,90s,Aggression,⭐⭐⭐⭐⭐,Drill 1113,No Strip,Mastery,Full speed drive into a veer-step finish.,Create contact aggressively at speed.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10400s,Gym,Basketball,Basketball
