Exercise Name,Level,Primary Muscle,sport,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Equipment,Spring Tension,Description,Proper Form Key Points,Direct Demo Link Path,Type,Enviroment
Pelvic Lift,Beg,Hamstrings,pilates,Low,1,10,1 min,30s,Glutes,⭐⭐⭐,Footwork,Stability,Posterior,Reformer,2 Red,Hips hover; press carriage out.,Squeeze sit-bones together.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Reformer,Reformer
Side Splits,Int,Adductors,pilates,Med,1,10/s,2 min,45s,Stability,⭐⭐⭐⭐,None,Balance,Lateral Power,Reformer,1 Blue,Standing on frame/carriage.,Weight centered; torso upright.,https://www.youtube.com/watch?v=1LvxZrJFy9Y,Reformer,Reformer
Front Splits,Int,Hip Flexors,pilates,Med,1,8/s,2 min,45s,Flexibility,⭐⭐⭐⭐,Side Splits,Mobility,ROM,Reformer,1 Red,Lunge position on reformer.,Square hips; lift through abs.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Horseback,Adv,Inner Thighs,pilates,High,1,5,1.5 min,60s,Adductor Power,⭐⭐⭐⭐⭐,Short Box,Mastery,Force Synch,Reformer,2 Blue,Straddle box; lift body off.,Use inner thighs to lift.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Pulling Straps II,Int,Triceps/Lats,pilates,Med,1,8,1 min,30s,Posture,⭐⭐⭐⭐,Pull Straps I,Arm Power,Rear Chain,Long Box,1 Red,Pull straps back while lifting chest.,Keep neck long; reach toes back.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Backstroke Prep,Int,Abdominals,pilates,Med,2,10,1.5 min,45s,Stability,⭐⭐⭐,Coordination,Bracing,Core Endurance,Long Box,2 Blue,Small arm/leg pulses on box.,"Keep the ""imprint"" on the box.",https://www.youtube.com/watch?v=qApaVgmeq-Y,Reformer,Reformer
Chest Expansion,Beg,Rhomboids/Lats,pilates,Low,2,8,1.5 min,30s,Breathing,⭐⭐⭐⭐,None,Posture,Lung Capacity,Reformer,1 Red 1 Blue,Kneeling; pull straps back/hold.,Look R/L while holding breath.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Thigh Stretch,Int,Quads/Core,pilates,Med,2,8,1 min,45s,Eccentric,⭐⭐⭐⭐⭐,Chest Expand,Quad Flex,Knee Stability,Reformer,1 Red 1 Blue,Lean back from knees in one line.,Hips forward; don't break at waist.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Arm Circles,Beg,Shoulders,pilates,Low,2,10,1.5 min,30s,Mobility,⭐⭐⭐,None,ROM,Shoulder Health,Reformer,1 Red,Circles with straps in hands.,Ribs heavy; pelvis neutral.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Reformer,Reformer
Frog (Straps),Beg,Adductors,pilates,Low,2,12,1.5 min,30s,Control,⭐⭐⭐,Leg Slides,Hip Health,Inner Thigh Str,Straps,2 Red,Heels together; press legs out.,Maintain neutral spine in straps.,https://www.youtube.com/watch?v=lJA8vu02egg,Reformer,Reformer
Leg Circles,Beg,Glutes/Hips,pilates,Low,2,10,2 min,30s,Mobility,⭐⭐⭐⭐,Frog,ROM,Hip Lubrication,Straps,2 Red,Large circles with legs in straps.,Pelvis stays rock-steady.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
The Mermaid,Beg,Obliques,pilates,Low,2,5/s,2 min,30s,Side Bend,⭐⭐⭐,None,Flexibility,Recovery,Reformer,1 Red,Side bend against the shoulder rest.,Reach up before reaching over.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Knee Stretch (Flat),Int,Deep Abs,pilates,Med,1,10,1 min,45s,Stability,⭐⭐⭐⭐,Knee Str Rd,Bracing,Trunk Stability,Reformer,2 Red,Kneeling; flat back carriage press.,Keep spine parallel to floor.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Single Leg Elephant,Adv,Lower Abs,pilates,High,1,8/s,1.5 min,60s,Balance,⭐⭐⭐⭐⭐,Elephant,Unilateral,Force Transfer,Reformer,1 Red,Elephant with one leg hovering.,Keep hips square to the footbar.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Long Box Grasshopper,Adv,Glutes/Back,pilates,High,1,8,1.5 min,60s,Posterior,⭐⭐⭐⭐⭐,Swan,Explosive,Chain Power,Long Box,1 Red,Prone; click heels together/lift.,Squeeze glutes; chest high.,https://www.youtube.com/watch?v=eZMTNEQKIWE,Reformer,Reformer
Rocking (Box),Adv,Full Chain,pilates,High,1,5,1.5 min,60s,Extension,⭐⭐⭐⭐⭐,Swan Dive,Power,Mastery,Long Box,1 Red,Grasp ankles; rock on the box.,Kick into hands to lift chest.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Side Arm Series (Rd),Beg,Obliques/Arm,pilates,Low,2,10/s,2 min,30s,Rotation,⭐⭐⭐,None,Posture,Anti-Rotation,Reformer,1 Blue,Pulling strap across body seated.,Rotate from the waist; sit tall.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Balance Control (Off),Adv,Shoulder/Core,pilates,High,1,5/s,1.5 min,60s,Inversion,⭐⭐⭐⭐⭐,Up Stretch,Verticality,Proprioception,Reformer,1 Red 1 Blue,Pike to one-leg lift toward sky.,Weight even in both hands.,https://www.youtube.com/watch?v=jy4GQNfbmfQ,Reformer,Reformer
Russian Squats,Adv,Quads/Balance,pilates,High,2,10,2 min,60s,Power,⭐⭐⭐⭐⭐,Splits,Leg Drive,Explosive Prep,Reformer,2-3 Red,Standing on carriage; squat.,Drive through heels; chest up.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Star (Advanced),Adv,Side Chain,pilates,High,1,5/s,1.5 min,60s,Lateral,⭐⭐⭐⭐⭐,Side Bend,Mastery,Lateral Force,Reformer,1 Red,Side plank; lift leg/arm to star.,Bottom waist lifted; gaze fwd.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Reformer,Reformer
The Gherkin,Adv,Hamstrings,pilates,High,1,8,1 min,60s,Tension,⭐⭐⭐⭐⭐,Tendon Str,Eccentric,Low Ab Strength,Reformer,2 Red,Variation of Tendon Stretch.,Scoop deeper; resist the in.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Side Splits (Adv),Adv,Adductors,pilates,High,2,10/s,2 min,60s,Adduction,⭐⭐⭐⭐⭐,Side Splits,Stability,Force Absorption,Reformer,1 Yellow,Standing; fast out/slow in.,Control the return of the spring.,https://www.youtube.com/watch?v=1LvxZrJFy9Y,Reformer,Reformer
Tendon Str (Side),Adv,Obliques,pilates,High,1,5/s,1 min,60s,Lateral Pow,⭐⭐⭐⭐⭐,Tendon Str,Torque,Lateral Agility,Reformer,2 Red,Tendon Stretch facing the side.,Use obliques to lift the hips.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
The Woodchopper,Int,Obliques,pilates,Med,2,10/s,2 min,45s,Rotation,⭐⭐⭐⭐,Side Arm,Rotational,Torque Prod.,Reformer,1 Red,Standing rotation with straps.,Pivot on back foot; stay long.,https://www.youtube.com/watch?v=S9pPj8YhXUo,Reformer,Reformer
Pelvic Lift (One Leg),Int,Hamstrings,pilates,Med,2,10/s,2 min,45s,Unilateral,⭐⭐⭐⭐,Pelvic Lift,Sprints,Leg Symmetry,Reformer,2 Red,Pelvic lift with one leg extended.,Keep hips level; don't drop.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Reformer,Reformer
Chest Expansion (St),Int,Post. Chain,pilates,Med,2,8,1.5 min,45s,Balance,⭐⭐⭐⭐,Chest Exp (Kn),Static Stab,Balance Power,Reformer,1 Red 1 Blue,Standing; pull straps to hips.,Engage glutes; don't lean fwd.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Eve's Lunge,Beg,Hip Flexors,pilates,Low,1,30s,2 min,30s,Flexibility,⭐⭐⭐,None,ROM,Recovery/Prep,Reformer,1 Red,One foot on floor; one on rest.,Sink into hip; keep chest up.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
The Breath (Adv),Adv,Lungs/Full Core,pilates,High,1,3,2 min,60s,Focus,⭐⭐⭐⭐⭐,Hundred,Focus,High-Pres. Prep,Reformer,2 Red,Full body extension/hold.,Precise breath-to-movement.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Cool Down Roll,Beg,Spine,pilates,Low,1,5,1 min,N/A,Recovery,⭐⭐⭐,None,Alignment,Longevity,Reformer,All Spr.,Slow roll down from sitting.,Feel each vertebra touch.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
